Nr|Naam|Gem/Bijz.|Sign|Bezoekadres|Huisnummer|NA|PC|Plaats|Gemeente|Provincie|Status|Verbijzondering status|MIP|Rijksmonument|Gemeentelijk monument|Rmonr.|Link|Beschermd deel|Eigenaar|Postadres|PC Eig.|Plaats|Jaartal|Circa|Periode|Ontwerp van|Grondvorm|wc|lijk|aula|KASKI|Bijzonderheden|Grootte|Isl.|Kadaster
1916|St Willibrordkerkhof|Bijzonder|RK|Dorpsdijk|232||3161 CJ|Rhoon|Albrandswaard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1857|Ja|||Recht|nee|nee|nee|||1.285|nee|Ja
1621|Begraafplaats HH Petrus en Paulus|Bijzonder|RK|Noordeinde|24||2445 XE|Aarlanderveen|Alphen aan den Rijn|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1809||||Recht|nee|nee|nee|||1.340|nee|Ja
1623|H Bonifatiuskerkhof|Bijzonder|RK|Paradijslaan|6||2405 CC|Alphen aan den Rijn|Alphen aan den Rijn|Zuid-Holland|In gebruik||Nee|Ja|Nee|516117|https://monumentenregister.cultureelerfgoed.nl/monumenten/516117|Bidkapelletje|Parochie H. Thomas||||1886||||Recht|nee|nee|nee|||2.585|nee|Ja
787|Grafkapel familie De Smeth|Bijzonder|Part|Paradijslaan|13||2405 CC|Alphen aan den Rijn|Alphen aan den Rijn|Zuid-Holland|Gesloten||Nee|Ja|Nee|7494|https://monumentenregister.cultureelerfgoed.nl/monumenten/7494|Grafkapel|||||1773||||Geen|nee|nee|nee|||30|nee|Nee
456|NH Kerkhof|Bijzonder|NH|Dorpsstraat|48|bij|2731 AR|Benthuizen|Alphen aan den Rijn|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Recht|nee|nee|nee|||360|nee|Nee
1616|H Joannes de Doperbegraafplaats|Bijzonder|RK|Sint Janshof|19|bij|2771 BM|Boskoop|Alphen aan den Rijn|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1868||||Recht|nee|nee|nee|||860|nee|Ja
3391|H Engelbewaarderskerkhof|Bijzonder|RK|Dorpsstraat|248||2391 CK|Hazerswoude Dorp|Alphen aan den Rijn|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1829||||Recht|nee|nee|nee|||980|nee|Ja
1617|Kerkhof|Bijzonder|NH|Dorpsstraat|53||2396 HD|Koudekerk aan den Rijn|Alphen aan den Rijn|Zuid-Holland|Gesloten|Deels geruimd|Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Kerkoriëntatie|nee|nee|nee||1984 geruimd, maar achter de kerk nog 1 grafmonument aanwezig|1.200|nee|Nee
1590|H Willibrordbegraafplaats|Bijzonder|RK|Overtocht|18||2411 BV|Bodegraven|Bodegraven-Reeuwijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||||Recht|nee|nee|nee||Bestond al rond 1830|1.495|nee|Ja
4338|NH Kerkhof|Bijzonder|NH|Oude Markt|1||2411 AW|Bodegraven|Bodegraven-Reeuwijk|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Kerkoriëntatie|nee|nee|nee||Na 1925 gesloten|1.165|Nee|Nee
2899|Onze Lieve Vrouw Geboortebegraafplaats|Bijzonder|RK|Meije|137|bij|2411 PN|Meije|Bodegraven-Reeuwijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1874||||Recht|nee|ja|nee|||595|nee|Ja
805|NH Kerkhof Sluipwijk|Bijzonder|NH|s-Gravenbroekseweg|85|bij|2811 GC|Reeuwijk|Bodegraven-Reeuwijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Recht|nee|nee|nee||Vanaf 1945 gesloten, na 2008 weer geopend|350|nee|Nee
1631|HH Petrus en Paulusbegraafplaats|Bijzonder|RK|Dorpsweg|22||2811KH|Reeuwijk-Dorp|Bodegraven-Reeuwijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||||Recht|nee|nee|nee|||2.315|nee|Ja
2863|NH Kerkhof|Bijzonder|NH|Kerkweg|2||2811 KD|Reeuwijk-Dorp|Bodegraven-Reeuwijk|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Recht|nee|ja|nee||Na 1945 niet meer begraven|685|nee|Ja
